policy,replicate,slot,rank,wins,points_for
need_adp,78,6,5,7,1515.83984375
season_sim,78,6,7,6,1367.6199951171875
need_adp,79,7,1,11,1777.419921875
season_sim,79,7,2,8,1784.099853515625
need_adp,80,8,5,8,1529.699951171875
season_sim,80,8,5,7,1489.699951171875
need_adp,81,9,9,6,1518.0400390625
season_sim,81,9,2,11,1498.8199462890625
need_adp,82,10,7,6,1379.1600341796875
season_sim,82,10,2,9,1468.639892578125
need_adp,83,11,1,13,1704.39990234375
season_sim,83,11,7,6,1449.880126953125
need_adp,84,0,2,9,1498.8199462890625
season_sim,84,0,2,10,1537.2999267578125
need_adp,85,1,1,12,1727.300048828125
season_sim,85,1,6,7,1468.83984375
need_adp,86,2,4,7,1531.5599365234375
season_sim,86,2,1,12,1763.719970703125
need_adp,87,3,5,8,1514.4801025390625
season_sim,87,3,2,11,1539.800048828125
need_adp,88,4,5,7,1498.31982421875
season_sim,88,4,4,8,1588.4400634765625
need_adp,89,5,1,11,1510.2801513671875
season_sim,89,5,1,12,1700.420166015625
need_adp,90,6,2,10,1740.920166015625
season_sim,90,6,1,11,1674.6199951171875
need_adp,91,7,2,10,1610.4801025390625
season_sim,91,7,7,7,1554.6600341796875
need_adp,92,8,1,12,1686.5
season_sim,92,8,2,10,1626.0
need_adp,93,9,5,8,1535.7200927734375
season_sim,93,9,1,11,1643.300048828125
need_adp,94,10,4,9,1587.5401611328125
season_sim,94,10,5,8,1555.179931640625
need_adp,95,11,8,5,1402.0401611328125
season_sim,95,11,4,8,1441.7598876953125
need_adp,96,0,8,7,1429.219970703125
season_sim,96,0,4,9,1473.2799072265625
need_adp,97,1,8,6,1285.2601318359375
season_sim,97,1,1,11,1675.10009765625
need_adp,98,2,4,8,1428.5400390625
season_sim,98,2,1,12,1649.0400390625
need_adp,99,3,2,9,1491.3800048828125
season_sim,99,3,5,8,1416.4000244140625
need_adp,100,4,3,10,1617.119873046875
season_sim,100,4,2,10,1439.0400390625
need_adp,101,5,5,8,1461.820068359375
season_sim,101,5,3,9,1529.4400634765625
need_adp,102,6,9,7,1228.5399169921875
season_sim,102,6,6,6,1449.4599609375
need_adp,103,7,1,13,1739.7001953125
season_sim,103,7,4,8,1566.920166015625
need_adp,104,8,5,8,1548.5999755859375
season_sim,104,8,2,9,1631.780029296875
need_adp,105,9,4,8,1416.659912109375
season_sim,105,9,10,5,1401.4599609375
need_adp,106,10,3,9,1509.699951171875
season_sim,106,10,1,11,1685.3399658203125
need_adp,107,11,4,8,1575.5
season_sim,107,11,3,10,1532.4200439453125
need_adp,108,0,12,4,1304.3599853515625
season_sim,108,0,10,4,1372.66015625
need_adp,109,1,3,9,1450.179931640625
season_sim,109,1,1,11,1664.7999267578125
need_adp,110,2,5,7,1417.260009765625
season_sim,110,2,9,6,1460.679931640625
need_adp,111,3,3,8,1543.6800537109375
season_sim,111,3,4,9,1475.97998046875
need_adp,112,4,3,9,1643.6199951171875
season_sim,112,4,4,8,1571.7401123046875
need_adp,113,5,2,9,1709.260009765625
season_sim,113,5,8,6,1509.7200927734375
need_adp,114,6,4,8,1499.2998046875
season_sim,114,6,2,9,1649.1201171875
need_adp,115,7,9,6,1421.43994140625
season_sim,115,7,6,8,1343.0799560546875
need_adp,116,8,1,14,1622.7999267578125
season_sim,116,8,9,6,1378.260009765625
need_adp,117,9,4,8,1452.6600341796875
season_sim,117,9,3,9,1625.300048828125
need_adp,118,10,1,11,1543.9600830078125
season_sim,118,10,1,13,1554.85986328125
need_adp,119,11,1,11,1507.4000244140625
season_sim,119,11,1,11,1550.5999755859375
need_adp,120,0,8,7,1401.9200439453125
season_sim,120,0,3,9,1355.7601318359375
need_adp,121,1,4,8,1607.10009765625
season_sim,121,1,7,7,1477.2000732421875
need_adp,122,2,1,12,1642.52001953125
season_sim,122,2,5,8,1531.300048828125
need_adp,123,3,5,7,1376.02001953125
season_sim,123,3,6,7,1446.780029296875
need_adp,124,4,2,10,1554.2000732421875
season_sim,124,4,4,9,1487.300048828125
need_adp,125,5,2,9,1468.93994140625
season_sim,125,5,4,8,1398.0799560546875
need_adp,126,6,2,10,1674.0399169921875
season_sim,126,6,6,7,1401.7401123046875
need_adp,127,7,11,5,1390.2601318359375
season_sim,127,7,8,6,1484.6201171875
need_adp,128,8,1,10,1503.4801025390625
season_sim,128,8,3,10,1594.300048828125
need_adp,129,9,8,5,1500.360107421875
season_sim,129,9,1,11,1763.820068359375
need_adp,130,10,1,13,1652.1199951171875
season_sim,130,10,3,9,1515.619873046875
need_adp,131,11,3,9,1461.4998779296875
season_sim,131,11,2,10,1504.900146484375
need_adp,132,0,1,10,1570.0999755859375
season_sim,132,0,12,4,1396.10009765625
need_adp,133,1,2,10,1620.260009765625
season_sim,133,1,3,9,1442.5799560546875
need_adp,134,2,12,4,1219.2601318359375
season_sim,134,2,3,10,1568.2000732421875
need_adp,135,3,1,10,1557.419921875
season_sim,135,3,1,9,1521.2801513671875
need_adp,136,4,10,5,1444.659912109375
season_sim,136,4,1,11,1586.4000244140625
need_adp,137,5,2,10,1510.800048828125
season_sim,137,5,1,10,1667.619873046875
need_adp,138,6,1,12,1636.52001953125
season_sim,138,6,2,9,1616.320068359375
need_adp,139,7,6,8,1543.5
season_sim,139,7,4,8,1396.4000244140625
need_adp,140,8,2,10,1435.099853515625
season_sim,140,8,1,11,1570.52001953125
need_adp,141,9,3,9,1538.6998291015625
season_sim,141,9,1,10,1681.5799560546875
need_adp,142,10,10,4,1391.8798828125
season_sim,142,10,2,9,1459.0400390625
need_adp,143,11,1,13,1579.300048828125
season_sim,143,11,1,10,1505.02001953125
need_adp,144,0,3,10,1401.9000244140625
season_sim,144,0,4,8,1388.0
need_adp,145,1,7,7,1533.499755859375
season_sim,145,1,2,9,1562.4398193359375
need_adp,146,2,2,11,1675.0400390625
season_sim,146,2,1,10,1497.9000244140625
need_adp,147,3,1,9,1537.4200439453125
season_sim,147,3,1,11,1579.2200927734375
need_adp,148,4,2,10,1498.619873046875
season_sim,148,4,9,5,1329.9600830078125
need_adp,149,5,2,10,1645.3199462890625
season_sim,149,5,2,8,1529.7000732421875
need_adp,150,6,2,9,1560.72021484375
season_sim,150,6,3,9,1489.3599853515625
need_adp,151,7,7,8,1474.0799560546875
season_sim,151,7,8,6,1333.93994140625
need_adp,152,8,3,9,1555.7200927734375
season_sim,152,8,2,10,1541.2001953125
need_adp,153,9,5,9,1527.7200927734375
season_sim,153,9,3,9,1532.699951171875
need_adp,154,10,4,8,1583.219970703125
season_sim,154,10,1,12,1743.039794921875
need_adp,155,11,3,8,1435.760009765625
season_sim,155,11,7,7,1424.080078125
need_adp,156,0,2,10,1530.419921875
season_sim,156,0,2,11,1480.4600830078125
need_adp,157,1,9,5,1376.760009765625
season_sim,157,1,10,5,1451.6201171875
need_adp,158,2,3,10,1543.719970703125
season_sim,158,2,9,6,1416.0599365234375
need_adp,159,3,2,10,1664.4400634765625
season_sim,159,3,2,10,1675.5198974609375
need_adp,160,4,1,12,1609.9998779296875
season_sim,160,4,1,11,1697.179931640625
need_adp,161,5,5,7,1428.0400390625
season_sim,161,5,5,8,1427.3800048828125
need_adp,162,6,6,7,1371.8001708984375
season_sim,162,6,6,7,1410.679931640625
need_adp,163,7,3,9,1451.3599853515625
season_sim,163,7,4,8,1500.02001953125
need_adp,164,8,7,7,1531.0201416015625
season_sim,164,8,1,11,1608.3399658203125
need_adp,165,9,2,9,1489.0799560546875
season_sim,165,9,5,8,1476.97998046875
need_adp,166,10,3,9,1571.820068359375
season_sim,166,10,2,8,1517.9200439453125
need_adp,167,11,9,6,1577.9598388671875
season_sim,167,11,3,8,1498.52001953125
need_adp,168,0,1,11,1517.2601318359375
season_sim,168,0,2,9,1376.8800048828125
need_adp,169,1,8,6,1371.39990234375
season_sim,169,1,3,9,1530.6600341796875
need_adp,170,2,2,9,1579.219970703125
season_sim,170,2,3,8,1587.519775390625
need_adp,171,3,4,8,1523.2000732421875
season_sim,171,3,3,9,1560.4200439453125
need_adp,172,4,5,7,1513.60009765625
season_sim,172,4,4,9,1561.4000244140625
need_adp,173,5,1,9,1536.880126953125
season_sim,173,5,1,12,1686.97998046875
need_adp,174,6,3,9,1517.699951171875
season_sim,174,6,7,6,1447.9200439453125
need_adp,175,7,1,13,1654.43994140625
season_sim,175,7,3,9,1663.0198974609375
need_adp,176,8,2,10,1518.02001953125
season_sim,176,8,4,8,1545.9599609375
need_adp,177,9,10,5,1310.739990234375
season_sim,177,9,2,11,1508.0
need_adp,178,10,6,8,1422.2799072265625
season_sim,178,10,1,12,1652.2200927734375
need_adp,179,11,1,11,1578.8001708984375
season_sim,179,11,5,7,1580.68017578125
need_adp,180,0,7,6,1410.099853515625
season_sim,180,0,8,6,1356.6600341796875
need_adp,181,1,1,11,1502.5400390625
season_sim,181,1,8,7,1380.47998046875
need_adp,182,2,6,7,1497.679931640625
season_sim,182,2,5,8,1465.5999755859375
need_adp,183,3,2,9,1532.2200927734375
season_sim,183,3,1,13,1709.9200439453125
need_adp,184,4,1,11,1538.6201171875
season_sim,184,4,3,11,1562.9400634765625
need_adp,185,5,3,10,1502.4200439453125
season_sim,185,5,1,10,1601.419921875
need_adp,186,6,5,7,1462.6199951171875
season_sim,186,6,1,12,1602.1800537109375
need_adp,187,7,1,11,1668.5399169921875
season_sim,187,7,5,8,1444.0799560546875
need_adp,188,8,3,9,1502.2200927734375
season_sim,188,8,5,7,1518.97998046875
need_adp,189,9,2,10,1666.60009765625
season_sim,189,9,2,9,1551.219970703125
