season,player_id,player_name,position,team,games_played,total_fp,avg_fp,pass_yds,pass_tds,rush_yds,rush_tds,rec_yds,rec_tds,receptions,targets,rush_att,pass_att,ppg,rush_ypg,rec_ypg,targets_pg,team_draft,round,pick,age,early_round,first_round,day1_pick,day2_pick,total_wins,playoff,good_team,good_offense,bad_offense,is_qb,is_rb,is_wr,is_te,target_share,rush_share,yards_per_target,yards_per_carry,games_played_pct,starter_games,fantasy_success,top_performer,injury_risk_score,durability_score,historical_injuries,games_missed_injury,season_ending_injuries,avg_recovery_time,has_recurring_injuries,position_injury_risk,age_adjusted_risk,usage_adjusted_risk,games_played_pct_adj
2013,00-0030520,M.Glennon,QB,TB,13,158.02,12.155385,2608.0,19,37.0,0,0.0,0,0,0,27,416,12.155384944035458,2.8461538461538463,0.0,0.0,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,1,0,0,0,0.0,0.083076923076923,0.0,1.3703703703703705,0.7647058823529411,1,1,0,0.25364114285714284,0.96,1,2,0,4.0,False,0.2,0.25364114285714284,0.32321128489795914,0.7407058823529411
2013,00-0030521,J.Hunter,WR,TEN,13,77.399994,5.9538455,0.0,0,0.0,0,354.0,4,18,42,0,0,5.953845684344952,0.0,27.23076923076923,3.230769230769231,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.0923076923076923,0.0,8.428571428571429,0.0,0.7647058823529411,1,0,0,0.29721153846153847,0.9,2,5,0,2.75,False,0.25,0.29721153846153847,0.3212170857988166,0.7047058823529411
2013,00-0030525,T.Austin,WR,LA,13,130.9,10.06923,0.0,0,151.0,1,418.0,4,40,69,9,1,10.069230299729568,11.615384615384617,32.15384615384615,5.307692307692308,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.1516483516483516,0.0276923076923076,6.057971014492754,16.77777777777778,0.7647058823529411,1,1,0,0.3567980769230769,0.74,5,13,1,2.8333333333333335,True,0.25,0.3567980769230769,0.4041424371301775,0.6087058823529411
2013,00-0030526,E.Manuel,QB,BUF,10,133.48,13.348,1972.0,11,186.0,2,0.0,0,0,0,53,306,13.347999572753906,18.6,0.0,0.0,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,1,0,0,0,0.0,0.212,0.0,3.509433962264151,0.5882352941176471,0,1,0,0.26616228571428574,0.9,2,5,0,3.5,False,0.2,0.26616228571428574,0.33597285093877555,0.528235294117647
2013,00-0030540,A.Dobson,WR,NE,12,118.2,9.849999,0.0,0,0.0,0,552.0,4,39,75,0,0,9.84999974568685,0.0,46.0,6.25,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.1785714285714285,0.0,7.36,0.0,0.7058823529411765,1,0,0,0.346875,0.8,3,10,0,3.6666666666666665,True,0.25,0.346875,0.40107421875,0.5858823529411765
2013,00-0030542,T.Williams,WR,DAL,15,148.0,9.866667,0.0,0,4.0,0,736.0,5,44,74,3,0,9.866666666666667,0.2666666666666666,49.06666666666667,4.933333333333334,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.1409523809523809,0.008,9.945945945945946,1.3333333333333333,0.8823529411764706,1,0,0,0.2808333333333333,1.0,0,0,0,0.0,False,0.25,0.2808333333333333,0.3154694444444444,0.8823529411764706
2013,00-0030544,G.Escobar,TE,DAL,9,34.4,3.8222225,0.0,0,0.0,0,134.0,2,9,15,0,0,3.8222223917643223,0.0,14.88888888888889,1.6666666666666667,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,1,0.0476190476190476,0.0,8.933333333333334,0.0,0.5294117647058824,0,0,0,0.32630000000000003,0.96,1,2,0,3.0,False,0.3,0.32630000000000003,0.3398958333333334,0.5054117647058823
2013,00-0030549,T.Eifert,TE,CIN,16,95.5,5.96875,0.0,0,0.0,0,445.0,2,39,60,0,0,5.96875,0.0,27.8125,3.75,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,1,0.1071428571428571,0.0,7.416666666666667,0.0,0.9411764705882352,1,0,0,0.33093749999999994,1.0,1,0,0,3.0,False,0.3,0.33093749999999994,0.3619628906249999,0.9411764705882352
2013,00-0030564,D.Hopkins,WR,HOU,16,142.2,8.8875,0.0,0,0.0,0,802.0,2,52,91,0,0,8.887499809265137,0.0,50.125,5.6875,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.1625,0.0,8.813186813186814,0.0,0.9411764705882352,1,0,0,0.3369453125,0.8200000000000001,3,9,0,3.1666666666666665,True,0.25,0.3369453125,0.3848547241210937,0.8331764705882352
2013,00-0030565,G.Smith,QB,NYJ,16,194.74,12.17125,3046.0,12,366.0,6,13.0,0,1,1,72,443,12.171250343322754,22.875,0.8125,0.0625,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,1,0,0,0,0.0017857142857142,0.18,13.0,5.083333333333333,0.9411764705882352,1,1,0,0.24749028571428577,0.96,3,2,0,3.8333333333333335,True,0.2,0.24749028571428577,0.30622503387755107,0.9171764705882351
