season,player_name,name_key,position,team,ecr,ecr_sd,best,worst,ecr_rank,pos_rank,scrape_date,proj_ppg,proj_games,proj_points,replacement_rank,replacement_ppg,replacement_points,VORP,vorp_ppg,is_streamed,adp_rank,ffc_adp,adp_sd,bye
2026,Wil Lutz,wil lutz,K,DEN,266.78,30.12,182.0,333.0,282,19,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,282,160.1,18.7,10.0
2026,New Orleans Saints,new orleans saints,DST,NO,267.44,38.55,172.0,356.0,286,23,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,286,,24.617563837601278,
2026,Atlanta Falcons,atlanta falcons,DST,ATL,270.19,41.12,167.0,356.0,291,24,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,291,,24.998894668433547,
2026,New York Giants,new york giants,DST,NYG,270.26,61.34,183.0,386.0,292,25,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,292,,25.075160834600002,
2026,Trey Smack,trey smack,K,GB,273.44,53.0,212.0,372.0,297,20,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,297,,25.45649166543227,
2026,Indianapolis Colts,indianapolis colts,DST,IND,277.05,43.92,170.0,356.0,301,26,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,301,,25.761556330098085,
2026,Carolina Panthers,carolina panthers,DST,CAR,278.67,56.07,171.0,366.0,308,27,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,308,,26.29541949326326,
2026,Nick Folk,nick folk,K,ATL,278.78,46.39,210.0,365.0,310,21,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,310,,26.447951825596167,
2026,Las Vegas Raiders,las vegas raiders,DST,LV,280.8,72.05,151.0,360.0,312,28,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,312,,26.600484157929078,
2026,Jake Moody,jake moody,K,FA,282.0,39.81,249.0,347.0,314,22,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,314,,26.753016490261984,
2026,Charlie Smyth,charlie smyth,K,NO,282.48,40.2,201.0,363.0,315,23,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,315,,26.829282656428436,
2026,Tyler Bass,tyler bass,K,BUF,289.25,53.27,193.0,409.0,325,24,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,325,,27.591944318092978,
2026,Jake Elliott,jake elliott,K,PHI,290.22,46.88,205.0,382.0,328,25,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,328,,27.820742816592336,
2026,Brandon McManus,brandon mcmanus,K,FA,291.8,75.17,197.0,394.0,330,26,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,330,,27.973275148925246,
2026,Daniel Carlson,daniel carlson,K,LV,293.67,62.07,213.0,404.0,335,27,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,335,,28.354605979757515,
