season,player_id,player_name,position,team,games_played,total_fp,avg_fp,pass_yds,pass_tds,rush_yds,rush_tds,rec_yds,rec_tds,receptions,targets,rush_att,pass_att,ppg,rush_ypg,rec_ypg,targets_pg,team_draft,round,pick,age,early_round,first_round,day1_pick,day2_pick,total_wins,playoff,good_team,good_offense,bad_offense,is_qb,is_rb,is_wr,is_te,target_share,rush_share,yards_per_target,yards_per_carry,games_played_pct,starter_games,fantasy_success,top_performer
2014,00-0030992,C.Gillmore,TE,BAL,11,39.1,3.5545454,0.0,0,0.0,0,151.0,2,12,17,0,0,3.5545453158291904,0.0,13.727272727272727,1.5454545454545454,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,1,0.04415584415584416,0.0,8.882352941176471,0.0,0.6470588235294118,0,0,0
2014,00-0031025,M.Campanaro,WR,BAL,5,31.1,6.2200003,0.0,0,0.0,0,141.0,1,11,13,1,0,6.220000076293945,0.0,28.2,2.6,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.07428571428571429,0.008,10.846153846153847,0.0,0.29411764705882354,0,0,0
2014,00-0031042,J.Amaro,TE,NYJ,13,84.5,6.5,0.0,0,0.0,0,345.0,2,38,53,0,0,6.5,0.0,26.53846153846154,4.076923076923077,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,1,0.11648351648351647,0.0,6.509433962264151,0.0,0.7647058823529411,1,0,0
2014,00-0031045,C.Hyde,RB,SF,14,74.1,5.292857,0.0,0,333.0,4,68.0,0,12,16,83,0,5.2928570338657925,23.785714285714285,4.857142857142857,1.1428571428571428,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,1,0,0,0.03265306122448979,0.23714285714285716,4.25,4.0120481927710845,0.8235294117647058,1,0,0
2014,00-0031051,J.Brown,WR,ARI,17,154.4,9.082353,0.0,0,-6.0,0,730.0,5,52,108,3,0,9.08235258214614,-0.35294117647058826,42.94117647058823,6.352941176470588,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.1815126050420168,0.007058823529411765,6.7592592592592595,-2.0,1.0,1,0,0
2014,00-0031055,A.Williams,RB,NYG,16,145.1,9.06875,0.0,0,721.0,7,130.0,0,18,37,217,0,9.068750381469727,45.0625,8.125,2.3125,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,1,0,0,0.06607142857142857,0.5425,3.5135135135135136,3.3225806451612905,0.9411764705882353,1,0,0
2014,00-0031057,K.Carey,RB,CHI,10,26.5,2.65,0.0,0,158.0,0,57.0,0,5,6,36,0,2.65,15.8,5.7,0.6,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,1,0,0,0.017142857142857144,0.144,9.5,4.388888888888889,0.5882352941176471,0,0,0
2014,00-0031066,L.Taliaferro,RB,BAL,10,70.6,7.06,0.0,0,292.0,4,114.0,0,8,10,68,0,7.05999984741211,29.2,11.4,1.0,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,1,0,0,0.02857142857142857,0.272,11.4,4.294117647058823,0.5882352941176471,0,0,0
2014,00-0031068,R.Grant,WR,WAS,5,13.8,2.76,0.0,0,0.0,0,68.0,0,7,15,0,0,2.7600000381469725,0.0,13.6,3.0,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.08571428571428572,0.0,4.533333333333333,0.0,0.29411764705882354,0,0,0
2014,00-0031075,A.Blue,RB,HOU,16,103.1,6.44375,0.0,0,528.0,2,113.0,1,15,18,169,0,6.443749904632568,33.0,7.0625,1.125,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,1,0,0,0.03214285714285714,0.4225,6.277777777777778,3.1242603550295858,0.9411764705882353,1,0,0
2014,00-0031236,B.Cooks,WR,NO,10,139.3,13.93,0.0,0,73.0,1,550.0,3,53,69,7,0,13.930000305175781,7.3,55.0,6.9,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.19714285714285715,0.028,7.971014492753623,10.428571428571429,0.5882352941176471,0,1,0
2014,00-0031237,T.Bridgewater,QB,MIN,13,183.66,14.127692,2919.0,15,209.0,1,0.0,0,0,0,47,402,14.127692589393028,16.076923076923077,0.0,0.0,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,1,0,0,0,0.0,0.14461538461538462,0.0,4.446808510638298,0.7647058823529411,1,1,0
2014,00-0031243,S.Johnson,RB,JAX,5,21.199999,4.24,0.0,0,86.0,2,-4.0,0,1,1,29,0,4.239999771118164,17.2,-0.8,0.2,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,1,0,0,0.005714285714285714,0.232,-4.0,2.9655172413793105,0.29411764705882354,0,0,0
2014,00-0031257,P.Richardson,WR,SEA,12,65.2,5.433333,0.0,0,0.0,0,292.0,1,30,46,0,0,5.433333079020183,0.0,24.333333333333332,3.8333333333333335,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.10952380952380952,0.0,6.3478260869565215,0.0,0.7058823529411765,1,0,0
2014,00-0031280,D.Carr,QB,LV,16,192.0,12.0,3270.0,21,92.0,0,0.0,0,0,1,29,599,12.0,5.75,0.0,0.0625,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,1,0,0,0,0.0017857142857142857,0.0725,0.0,3.1724137931034484,0.9411764705882353,1,1,0
2014,00-0031285,D.Freeman,RB,ATL,16,87.299995,5.4562497,0.0,0,248.0,1,225.0,1,30,37,65,0,5.456249713897705,15.5,14.0625,2.3125,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,1,0,0,0.06607142857142857,0.1625,6.081081081081081,3.8153846153846156,0.9411764705882353,1,0,0
2014,00-0031291,J.Wright,WR,CIN,10,17.1,1.71,0.0,0,30.0,0,91.0,0,5,16,3,0,1.7100000381469727,3.0,9.1,1.6,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,0,1,0,0.045714285714285714,0.012,5.6875,10.0,0.5882352941176471,0,0,0
2014,00-0031301,J.Hill,RB,CIN,17,221.6,13.035295,0.0,0,1171.0,10,215.0,0,27,32,235,0,13.03529447667739,68.88235294117646,12.647058823529411,1.8823529411764706,0,8.0,300.0,0.0,0,0,0,0,8,0,0,0,0,0,1,0,0,0.05378151260504201,0.5529411764705883,6.71875,4.982978723404256,1.0,1,1,0
