player_name,position,proj_ppg_2025,VORP,adp_rank
Desmond Ridder,QB,5.5840000000000005,-13.406666666666666,
Tim Boyle,QB,4.98,-14.010666666666665,
Dorian Thompson-Robinson,QB,3.966666666666667,-15.024,
Skylar Thompson,QB,3.9400000000000004,-15.050666666666665,
Kenny Pickett,QB,3.634285714285714,-15.356380952380952,
Brandon Allen,QB,3.4533333333333336,-15.537333333333333,23.0
Trey Lance,QB,3.4349999999999996,-15.555666666666667,173.0
Davis Mills,QB,2.3950000000000005,-16.595666666666666,
Carson Wentz,QB,2.36,-16.630666666666666,
Jake Haener,QB,1.78,-17.210666666666665,
Mitchell Trubisky,QB,1.6622222222222218,-17.328444444444443,
Mike White,QB,1.12,-17.870666666666665,
Hendon Hooker,QB,0.8933333333333334,-18.09733333333333,
Taylor Heinicke,QB,0.78,-18.210666666666665,
Kyle Allen,QB,0.76,-18.230666666666664,23.0
Chris Oladokun,QB,0.5,-18.490666666666666,
Nick Mullens,QB,0.33,-18.660666666666668,
Jarrett Stidham,QB,0.25,-18.740666666666666,
Josh Johnson,QB,0.195,-18.795666666666666,
Sam Howell,QB,0.15999999999999998,-18.830666666666666,
Teddy Bridgewater,QB,0.12,-18.870666666666665,
Clayton Tune,QB,-0.016000000000000014,-19.006666666666668,
Tyson Bagent,QB,-0.06500000000000002,-19.055666666666667,
Kyle Trask,QB,-0.06666666666666667,-19.057333333333332,
Jake Browning,QB,-0.1,-19.090666666666667,39.0
